Year,IndicatorID,BreakOutCategoryId,BreakOutId,LocationID
2008,HC603,BOC02,GEN02,59
2008,HC603,BOC03,AGE01,59
2008,HC603,BOC03,AGE04,59
2008,HC603,BOC03,AGE05,59
2008,HC603,BOC03,AGE06,59
2008,HC603,BOC03,AGE07,59
2008,HC603,BOC03,AGE08,59
2009,HC603,BOC01,OVR01,59
2009,HC603,BOC02,GEN01,59
2009,HC603,BOC02,GEN02,59
2009,HC603,BOC03,AGE01,59
2009,HC603,BOC03,AGE04,59
2009,HC603,BOC03,AGE05,59
2009,HC603,BOC03,AGE06,59
2009,HC603,BOC03,AGE07,59
2009,HC603,BOC03,AGE08,59
2010,HC603,BOC01,OVR01,59
2010,HC603,BOC02,GEN01,59
2010,HC603,BOC02,GEN02,59
2010,HC603,BOC03,AGE01,59
2010,HC603,BOC03,AGE04,59
2010,HC603,BOC03,AGE05,59
2010,HC603,BOC03,AGE06,59
2010,HC603,BOC03,AGE07,59
2010,HC603,BOC03,AGE08,59
2011,HC603,BOC01,OVR01,59
2011,HC603,BOC02,GEN01,59
2011,HC603,BOC02,GEN02,59
2011,HC603,BOC03,AGE01,59
2011,HC603,BOC03,AGE04,59
2011,HC603,BOC03,AGE05,59
2011,HC603,BOC03,AGE06,59
2011,HC603,BOC03,AGE07,59
2011,HC603,BOC03,AGE08,59
2012,HC603,BOC01,OVR01,59
2012,HC603,BOC02,GEN01,59
2012,HC603,BOC02,GEN02,59
2012,HC603,BOC03,AGE01,59
2012,HC603,BOC03,AGE04,59
2012,HC603,BOC03,AGE05,59
2012,HC603,BOC03,AGE06,59
2012,HC603,BOC03,AGE07,59
2012,HC603,BOC03,AGE08,59
2013,HC603,BOC01,OVR01,59
2013,HC603,BOC02,GEN01,59
2013,HC603,BOC02,GEN02,59
2013,HC603,BOC03,AGE01,59
2013,HC603,BOC03,AGE04,59
2013,HC603,BOC03,AGE05,59
2013,HC603,BOC03,AGE06,59
2013,HC603,BOC03,AGE07,59
2013,HC603,BOC03,AGE08,59
